d,Name,Author,Sec,Tier,Screenshot,X,Y,Z,XP,Res,Trees,Surveyor,Steam name,Aluminium,Bronze,Copper,Gold,Iron,Lead,Nickel,Silver,Steel,Tin,Titanium,Tungsten
K2_13,Boulder Fields,Narciciss,K2,1,https://i.imgur.com/5wcu5Pr.png,-5278,-246,15102,5,Yes,Elm,Jerodar,,,,,,,,,,,,,
K2_14,Mini Biome,Ceramic_Plate,K2,1,https://i.imgur.com/yVe9F0C.png,-3130,-305,13493,1,Yes,"Elm, Ash",Jerodar,,,,,,,,,,,,,
K2_15,Golf Course,dougmantis,K2,1,https://i.imgur.com/1WNVTU0.png,-3844,229,14428,3,Yes,"Oak, Chestnut",Jerodar,,,,,,,,,,,,,
K3_1,Sheltered Jungle,Magnymbus,K3,1,https://i.imgur.com/UwLAlTd.png,-11152,562,9784,2,Yes,Oak,Jerodar,,,,,,,,,,,,,
K3_2,Ant Hill,OddNova,K3,1,https://i.imgur.com/zLQ9HC3.png,-9425,-114,9953,1,No,"Chestnut, Palm, Elm, Birch, Oak",Jerodar,,,,,,,,,,,,,
K3_3,Giants Step,Caravack,K3,1,https://i.imgur.com/8IB3fJV.png,-10064,8,8988,2,Yes,"Oak, Birch",Jerodar,,,,,,,,,,,,,
K3_4,Shrooms,MorryMemento 🐼相撲🐼,K3,1,https://i.imgur.com/RE8KLCf.png,-9424,-84,7613,2,Yes,"Cedar, Palm",Jerodar,,,,,,,,,,,,,
K3_5,Mountain Valley,ThcMonkey,K3,1,https://i.imgur.com/2wGx1du.png,-8564,204,6190,4,Yes,"Birch, Elm",Jerodar,,,,,,,,,,,,,
K3_6,Fault Line,uncle J,K3,1,https://i.imgur.com/CpLyjhl.png,-9315,-452,5100,4,No,Oak,Jerodar,,,,,,,,,,,,,
K3_7,Treasure Trove,Ike2d2,K3,1,https://i.imgur.com/QDz8b3v.png,-10689,483,4045,1,No,Elm,Jerodar,,,,,,,,,,,,,
K3_8,Raised Quarter,Narciciss,K3,1,https://i.imgur.com/m7mSiI5.png,-11247,293,5466,4,Yes,Oak,Jerodar,,,,,,,,,,,,,
K3_9,Sacred Grove,Iazwarrior,K3,1,https://i.imgur.com/UcP7H7d.png,-12017,-37,3849,2,Yes,"Oak, Birch, Elm",Jerodar,,,,,,,,,,,,,
K3_10,Sky Altar,Logen_NineFingers,K3,1,https://i.imgur.com/K1cdd5E.png,-12255,-288,2830,1,No,Chestnut,Jerodar,,,,,,,,,,,,,
K3_11,Hollow Hill,Svenni,K3,1,https://i.imgur.com/L1ne07E.png,-12524,1,4755,1,No,"Birch, Oak, Elm, Chestnut",Jerodar,,,,,,,,,,,,,
K3_12,Fall Colours,Dosko,K3,1,https://i.imgur.com/Ie8jflR.png,-12304,-60,6889,2,Yes,"Chestnut, Birch",Jerodar,,,,,,,,,,,,,
K3_13,Cloverleaf II,Narciciss,K3,1,https://i.imgur.com/l9jGVKy.png,-11570,190,7628,3,Yes,Oak,Jerodar,,,,,,,,,,,,,
K3_14,Brothers,Narciciss,K3,1,https://i.imgur.com/E6zOpYf.png,-12045,465,9336,1,Yes,Oak,Jerodar,,,,,,,,,,,,,
K3_15,Ashlands,RossTheConqueror,K3,1,https://i.imgur.com/phfHHx3.png,-10415,162,6645,2,Yes,Ash,Jerodar,,,,,,,,,,,,,
K4_1,Four Tier,Think Tank,K4,2,https://i.imgur.com/yJth8e0.png,-6800,450,10719,2,Yes,"Chestnut, Birch",djJrock,,,,,,,,,,,,,
K4_2,Shipwreck,The voice of freedom,K4,2,https://i.imgur.com/kMHp4a6.png,-5167,-21,10648,1,No,"Oak, Birch",djJrock,,,,,,,,,,,,,
K4_3,Pillars,Droopy Weiners,K4,2,https://i.imgur.com/XFauGzl.png,-3823,-436,10851,5,No,Elm,Jerodar,,,,,,,,,,,,,
K4_4,Hidden Garden,OddNova,K4,2,https://i.imgur.com/apDQR8O.png,-2562,611,10544,2,No,"Elm, Ash",djJrock,,,,,,,,,,,,,
K4_5,Witch Head,InkLinkLing,K4,2,https://i.imgur.com/hQKRThr.png,-1658,244,11545,3,Yes,"Birch, Chestnut, Hemlock",djJrock,,1,5,5,0,6,6,5,0,1,3,4,3
K4_6,Graveyard,OddNova,K4,2,https://i.imgur.com/fBcXslB.png,-5643,5643,9580,2,Yes,Oak,djJrock,,,,,,,,,,,,,
K4_7,Arch Bridge,TheFirstDreamer,K4,2,https://i.imgur.com/sykOXUt.png,-4520,464,9165,5,Yes,Oak,djJrock,,,,,,,,,,,,,
K4_8,Hidden Dock,GreyEminez,K4,2,https://i.imgur.com/BvzIQjE.png,-3379,160,9360,0,Yes,Chestnut,djJrock,,,,,,,,,,,,,
K4_9,Lost City,greeneD,K4,2,https://i.imgur.com/hQKRThr.png,-5771,-83,7150,4,No,Oak,djJrock,,,,,,,,,,,,,
K4_10,Sacrifice,jotty2,K4,2,https://i.imgur.com/nHEIJXm.png,-6269,-200,8762,5,No,"Birch, Chestnut, Ash, Cedar, Elm, Oak, Palm",djJrock,,,,,,,,,,,,,
K4_11,Four Towers,LameGreen,K4,2,https://i.imgur.com/ayel9sV.png,-4668,-432,8118,1,Yes,Elm,djJrock,,,,,,,,,,,,,
K5_1,Drops,Synovus,K5,1,https://i.imgur.com/OiBWTFx.png,747,656,9164,3,Yes,Hemlock,Despy,,,,,,,,,,,,,
K5_2,Isolated,InterFlash,K5,1,https://i.imgur.com/NOeH8GW.png,1400,-245,10240,2,No,"Birch, Oak",djJrock,,,,,,,,,,,,,
K5_3,Hidden Caverns,Seypho,K5,1,https://i.imgur.com/AACsAq4.png,2188,-373,8863,4,Yes,"Birch, Oak",djJrock,,,,,,,,,,,,,
K5_4,Lonely Mountain,Narciciss,K5,1,https://i.imgur.com/xA476lM.png,-672,-73,7516,5,Yes,Hemlock,djJrock,,,,,,,,,,,,,
K5_5,Lighthouse,Jaros,K5,1,https://i.imgur.com/sIx98YP.png,-283,-410,5302,3,No,Chestnut,djJrock,,,,,,,,,,,,,
K5_6,Hermit's Hold,olobit,K5,1,https://i.imgur.com/KmTqrWK.png,-2163,142,6459,1,No,Birch,djJrock,,,,,,,,,,,,,
K5_7,Hiding Place,kn1ghtpr1nce,K5,1,https://i.imgur.com/Xn2RcKK.png,987,530,7356,5,Yes,Birch,Jerodar,,,,,,,,,,,,,
K6_1,City Storage,OddNova,K6,2,https://i.imgur.com/uc71WHq.png,-4003,236,4135,1,Yes,"Oak, Birch, Hemlock",djJrock,,,,,,,,,,,,,
K6_2,Floating Core,Kranot,K6,2,https://i.imgur.com/C5BSp9p.png,-4068,282,2258,3,Yes,"Birch, Hemlock, Chestnut",Jerodar,,,,,,,,,,,,,
K6_3,Grapple Isles,jaguerre,K6,2,https://i.imgur.com/UKItP3X.png,-2803,717,2178,2,Yes,Elm,Jerodar,,,,,,,,,,,,,
K6_4,Menhir Hill,Birby,K6,2,https://i.imgur.com/34vjRlE.png,-901,465,2840,4,No,Hemlock,Jerodar,,,,,,,,,,,,,
K6_5,Cleaved Mountain,Mr.Secundus,K6,2,https://i.imgur.com/wlTFgyb.png,-5310,-118,4111,4,Yes,"Chestnut, Birch",Jerodar,,,,,,,,,,,,,
K6_6,Drainage,Oafrat,K6,2,https://i.imgur.com/pWQP1JA.png,-5237,-276,2864,1,Yes,"Cedar, Hemlock",Jerodar,,,,,,,,,,,,,
K6_7,Lonely Cottage,Unknown,K6,2,https://i.imgur.com/e8qXowg.png,-3619,-369,3120,1,No,Birch,Jerodar,,,,,,,,,,,,,
K6_8,Defensive Cannon,The voice of freedom,K6,2,https://i.imgur.com/zrBPJ8Z.png,-2160,461,3755,1,No,Birch,Jerodar,,,,,,,,,,,,,
M1_1,Garden of Industry,Kranot,M1,3,http://i.imgur.com/XZ2E4v1.png,2239,326,3428,2,No,Birch,Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_2,Nightwatch Hold,Lexhy,M1,3,http://i.imgur.com/pllLzcU.png,2877,455,2237,5,No,Cedar,Lonely Fox & Exiles Crew,Starlight Temple,,,,,,,,,,,,
M1_3,Derelict Watch,RLCannibal,M1,3,http://i.imgur.com/2cLKwJO.png,3395,-440,1270,2,Yes,"Cedar, Chestnut",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_4,Overgrown Lab,uTube EmberstoneGaming,M1,3,http://i.imgur.com/zD0sJVx.png,4219,-146,2212,2,No,"Cedar, Elm",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_5,Autumn Ship Grave,Kranot,M1,3,http://i.imgur.com/SMu1RSE.png,5134,-86,2116,2,No,"Birch, Chestnut, Hemlock",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_6,Suramar,Lexhy,M1,3,http://i.imgur.com/AWltOh1.png,4029,-59,3491,4,Yes,"Ash, Cedar",Lonely Fox & Exiles Crew,Old Alexandria,,,,,,,,,,,,
M1_7,Fuji,Mr.Secundus,M1,3,http://i.imgur.com/tUtpQ3D.png,3498,-67,5012,5,No,"Oak, Birch",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_8,Saborian Chapel,InquisitorCrumbleduck,M1,3,http://i.imgur.com/jhfCLHH.png,4654,-479,6141,4,Yes,"Oak, Chestnut",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_9,Last Wall,dia3,M1,3,http://i.imgur.com/8RMbwTL.png,5306,70,4664,2,No,Birch,Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_10,Blasted Fort,Trolloflo,M1,3,http://i.imgur.com/8FWoQtW.png,5842,240,3278,5,Yes,Oak,Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_11,Remnant Islands,Lexhy,M1,3,http://i.imgur.com/xq6UhQU.png ,6902,-412,3952,5,Yes,Elm,Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M1_12,Pinwheel Tower,Zerax,M1,3,https://i.imgur.com/haNbSEQ.jpg,3600,278,-100,5,No,"Oak, Birch","Eskii, Kilomaa55, and Jace Spark",,,,,,,,,,,,,
M2_1,Mine Shaft,Oafrat,M2,3,https://i.imgur.com/QHvEfkI.png,-2315,342,-1485,4,No,"Birch, Oak",Archaegeo,,,,,,,,,,,,,
M2_2,Halo Town,Plowablebat,M2,3,https://i.imgur.com/xt5QpRI.png,-2038,313,-2463,1,No,Ash,Archaegeo,,,,,,,,,,,,,
M2_3,Tomb,The Ninjaneer,M2,3,https://i.imgur.com/YJvQ3LH.png,-3033,-400,-629,5,No,Birch,Archaegeo,,,,,,,,,,,,,
M2_4,Isles Sanctuary,Lexhy,M2,3,https://i.imgur.com/XnrlgfC.png,-524,-246,-1176,4,Yes,"Elm, Birch, Oak",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M2_5,Pierce Canyon,OddNova,M2,3,https://i.imgur.com/3bBCwAu.png,309,482,65,2,No,"Elm, Birch",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M2_6,Oil Rig,The Doogality of Man,M2,3,https://i.imgur.com/3kiQ48A.png,-1606,384,-301,5,No,Chestnut,Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M2_7,Landbridge,Unknown,M2,3,https://i.imgur.com/iBQv34k.png,650,450,-2400,2,No,"Cedar, Elm, Hemlock",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M2_8,Stonebeast's Vigil,Unknown,M2,3,https://i.imgur.com/c8e0tl5.png,797,416,-1470,5,No,"Elm, Birch, Ash",Lonely Fox & Exiles Crew,,,,,,,,,,,,,
M3_1,Arboreal,Gamer3226,M3,3,https://i.imgur.com/y9iVyq6.png,-2163,375,-8068,5,Yes,"Birch, Oak",Jerodar,,,,,,,,,,,,,
M3_2,Ruby Town,Lexhy,M3,3,https://i.imgur.com/6CCFIYo.png,-1340,389,-6542,5,Yes,Chestnut,Jerodar,,,,,,,,,,,,,
M3_3,Canyon Town,Lexhy,M3,3,https://i.imgur.com/ht53yRA.png,-2043,571,-6253,5,No,Birch,Jerodar,,,,,,,,,,,,,
M3_4,Artillery,Z4ipher,M3,3,https://i.imgur.com/kpCHhS9.png,-1546,445,-5508,5,No,"Oak, Cedar",Jerodar,,,,,,,,,,,,,
M3_5,Circle of Worship,jazzdog,M3,3,https://i.imgur.com/qorT1Mh.png,370,-128,-4550,4,Yes,"Oak, Elm, Helmlock",Jerodar,,,,,,,,,,,,,
M3_6,Maelstrom,Synovus,M3,3,https://i.imgur.com/AiwIAx5.png,-111,627,-5513,5,Yes,"Cedar, Palm, Chestnut",Jerodar,,,,,,,,,,,,,
M3_7,Castle Town,aeixovu,M3,3,https://i.imgur.com/COIx12q.png,624,548,-6727,4,No,Birch,Jerodar,,,,,,,,,,,,,
M3_8,Mountain Palace,Lexhy,M3,3,https://i.imgur.com/XWBA3MX.png,-549,346,-7930,5,Yes,"Oak, Elm, Birch",Jerodar,,,,,,,,,,,,,
M3_9,Dodecahedron,Synovus,M3,3,https://i.imgur.com/jHRzY2t.png,-340,-343,-9151,4,No,"Ash, Elm, Chestnut, Cedar",Jerodar,,,,,,,,,,,,,
M3_10,Scattered Ruins,FHMENDOZA,M3,3,https://i.imgur.com/1x8LiZE.png,729,-128,-9036,3,Yes,"Oak, Birch, Palm, Hemlock",Jerodar,,,,,,,,,,,,,
M3_11,Coloseum,poliasparthenos,M3,3,https://i.imgur.com/hxgdTdp.png,1073,488,-10882,1,Yes,Elm,Jerodar,,,,,,,,,,,,,
M3_12,Annihilator,Kranot,M3,3,https://i.imgur.com/cOmxLaA.png,-482,230,-11437,2,No,"Chestnut, Birch, Hemlock",Jerodar,,,,,,,,,,,,,
M3_13,Bayside,Plego,M3,3,https://i.imgur.com/6qIo8MS.png,-69,560,-10360,2,Yes,Palm,Jerodar,,,,,,,,,,,,,
M3_14,Bombed Station,Teras,M3,3,https://i.imgur.com/DKdvuuT.png,-1584,-471,-9193,2,No,Chestnut,Jerodar,,,,,,,,,,,,,
N1_1,Fractured Temple,Kicco,N1,4,https://i.imgur.com/1g8kN4J.png,-9315,-24,1184,2,No,,Jerodar,,,,,,,,,,,,,
N1_2,Cloister Pillars,Synovus,N1,4,https://i.imgur.com/OEF59LI.png,-7988,397,2387,2,No,,Jerodar,,,,,,,,,,,,,
N1_3,Maw,Kranot,N1,4,https://i.imgur.com/XzIrdDe.png,-7069,527,1201,2,No,,Jerodar,,,,,,,,,,,,,
N1_4,Skull Rock,InquisitorCrumbleduck,N1,4,https://i.imgur.com/1AU3tGJ.png,-8021,1,774,2,No,,Jerodar,,,,,,,,,,,,,
N1_5,Sand Pillars,Nausical,N1,4,https://i.imgur.com/vywpyDm.png,-6781,-381,-290,5,No,,Jerodar,,,,,,,,,,,,,
N1_6,The Pit,Slasher,N1,4,https://i.imgur.com/OF09HYO.png,-8305,-312,-596,5,No,Hemlock,Jerodar,,,,,,,,,,,,,
N1_7,Godhead,NewWay,N1,4,https://i.imgur.com/WJtDMOY.png,-9828,400,-1862,2,No,Palm,Jerodar,,,,,,,,,,,,,
N1_8,Broken City,Eternz,N1,4,https://i.imgur.com/sPmPTxQ.png,-10476,-388,-778,5,No,None,Jerodar,,,,,,,,,,,,,
N1_9,Sultans Garden,Lexhy,N1,4,https://i.imgur.com/ykKkmZD.png,-11329,534,237,4,No,Palm,Jerodar,,,,,,,,,,,,,
N1_10,Battlefield,Teras,N1,4,https://i.imgur.com/kVVfjCH.png,-9816,248,259,4,No,None,Jerodar,,,,,,,,,,,,,
N2_1,Divine Peak,ryedstar,N2,4,https://i.imgur.com/UcxAeqS.png,-8224,-96,-4375,3,No,None,Jerodar,,,,,,,,,,,,,
N2_2,3D Chess,Lexhy,N2,4,https://i.imgur.com/WNpgiKm.png,-6779,67,-4723,4,No,Palm,Jerodar,,,,,,,,,,,,,
N2_3,Judgement,Entity.Prefab,N2,4,https://i.imgur.com/pPLsW9e.png,-5995,-447,-3519,2,No,None,Jerodar,,,,,,,,,,,,,
N2_4,Coyote Road,Feelgood,N2,4,https://i.imgur.com/C2IzKSE.png,-3906,-233,-4203,1,No,Palm,Jerodar,,,,,,,,,,,,,
N2_5,Two Tribes,Nivis,N2,4,https://i.imgur.com/2ZSz0eV.png,-5055,-500,-4166,3,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,
N2_6,Ruined Throne,NewWay,N2,4,https://i.imgur.com/DOX4uk2.png,-4976,-416,-5640,2,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,
N2_7,Hanging On,F_E_E_S_H,N2,4,https://i.imgur.com/IUq7Ygu.png,-6734,390,-6469,5,No,"Palm, Hemlock, Oak",Jerodar,,,,,,,,,,,,,
N2_8,Canyon,Synovus,N2,4,https://i.imgur.com/zkz0NKh.png,-8442,272,-6131,3,No,Palm,Jerodar,,,,,,,,,,,,,
T1_1,Crawler,Taco6961,T1,3,https://i.imgur.com/b9nzE8B.png,-15705,285,14077,5,Yes,,Jerodar,,,,,,,,,,,,,
T1_2,Seal Keep,lazwarrior,T1,3,https://i.imgur.com/AjgKSKK.png,-16198,-223,14771,5,Yes,,Jerodar,,,,,,,,,,,,,
T1_3,Stacked Hex,OddNova,T1,3,https://i.imgur.com/JAjm24g.png,-16865,497,14119,3,No,,Jerodar,,,,,,,,,,,,,
T1_4,Checkpoint Fort,Fureniku,T1,3,https://i.imgur.com/4EjW0EP.png,-16887,464,15696,5,No,,Jerodar,,,,,,,,,,,,,
T1_5,Chains,Lexhy,T1,3,https://i.imgur.com/bgHxa9B.png,-15371,582,16624,4,No,,Jerodar,,,,,,,,,,,,,
T1_6,Hamlet,Lexhy,T1,3,https://i.imgur.com/P2wxr70.png,-16793,74,16910,5,No,,Jerodar,,,,,,,,,,,,,
T1_7,Landslide,davidjerlinger,T1,3,https://i.imgur.com/bXZAqzQ.png,-15156,426,15490,5,Yes,,Jerodar,,,,,,,,,,,,,
T2_1,Lookout Peak,I'm so sorry,T2,3,https://i.imgur.com/wmtPxmL.png,-16491,693,9604,3,No,,Jerodar,,,,,,,,,,,,,
T2_2,Trapped Tunnels,Synovus,T2,3,https://i.imgur.com/UWfWKz1.png,-15165,-516,9691,5,Yes,,Jerodar,,,,,,,,,,,,,
T2_3,Fort Knox,Lexhy,T2,3,https://i.imgur.com/w5O8Jpq.png,-16153,419,11111,4,Yes,,Jerodar,,,,,,,,,,,,,
T2_4,Workshop,Literally Hitler,T2,3,https://i.imgur.com/2qlZn42.png,-14527,215,10846,2,Yes,,Jerodar,,,,,,,,,,,,,
T2_5,Villa,Kranot,T2,3,https://i.imgur.com/26h4qX1.png,-15545,-208,12126,4,No,,Jerodar,,,,,,,,,,,,,
T2_6,Mountain Fortress,InquisitorCrumbleduck,T2,3,https://i.imgur.com/ZCj8P6d.png,-16899,240,11919,2,No,,Jerodar,,,,,,,,,,,,,
T3_1,Dark City,ThcMonkee,T3,3,https://i.imgur.com/wFlJBaS.png,-16908,-159,4519,5,No,,Jerodar,,,,,,,,,,,,,
T3_2,Armada,Lexhy,T3,3,https://i.imgur.com/GWxda65.png,-14912,419,4210,3,Yes,,Jerodar,,,,,,,,,,,,,
T3_3,Blue Village,Lexhy,T3,3,https://i.imgur.com/nC3jxSl.png,-14896,339,2170,5,No,,Jerodar,,,,,,,,,,,,,
T3_4,Defense Fort,Kranot,T3,3,https://i.imgur.com/5zG6TLA.png,-16620,-140,2244,4,Yes,,Jerodar,,,,,,,,,,,,,
T3_5,Wrecked Rig,Tera,T3,3,https://i.imgur.com/vUBSgCA.png,-16026,-79,3178,2,Yes,,Jerodar,,,,,,,,,,,,,
T3_6,Factory Town,Wumply912xX,T3,3,https://i.imgur.com/SBG5RZe.png,-15869,568,5445,3,Yes,,Jerodar,,,,,,,,,,,,,
T3_7,Stadium,Synovus,T3,3,https://i.imgur.com/y6NwZSj.png,-15183,81,6768,4,No,,Jerodar,,,,,,,,,,,,,
T3_8,Stacked,Dr.FeelGood,T3,3,https://i.imgur.com/FicsN9a.png,-16679,-360,7118,5,Yes,,Jerodar,,,,,,,,,,,,,
Z1_1,Hidden Jungle,Mav,Z1,1,https://puu.sh/wry4I/0485b778e5.png,-17100,0,-500,2,,,Jerodar,,,,,,,,,,,,,
Z1_2,Tubes,Narciciss,Z1,1,https://puu.sh/wry6b/e700a2a9a7.png,-15200,-500,-700,2,,,Jerodar,,,,,,,,,,,,,
Z1_3,Mountain Lake,OddNova,Z1,1,https://puu.sh/wrwtc/c90da35a95.png,-17100,0,-1800,3,,,Jerodar,,,,,,,,,,,,,
Z1_4,Willow Hills,DragonLord ツ,Z1,1,https://puu.sh/wrz4b/9f610a1232.png,-13500,0,-1400,2,,,Jerodar,,,,,,,,,,,,,
Z1_5,Gaping Cave,3wolves,Z1,1,https://puu.sh/wrA26/eb87fc23a6.png,-13400,500,-2600,2,,,Jerodar,,,,,,,,,,,,,
Z1_6,Grassy Flats,Narciciss,Z1,1,https://puu.sh/wrvzu/20273d788d.png,-15700,500,-3300,4,,,Jerodar,,,,,,,,,,,,,
Z1_7,Tunnels,Mr.Secundus,Z1,1,https://puu.sh/wrGQu/f493519d6c.png,-17400,0,-4100,4,,,Jerodar,,,,,,,,,,,,,
Z1_8,Lighttower,?,Z1,1,https://puu.sh/wrAxm/0b0a7e7a7f.png,-12100,-500,-4200,2,,,Jerodar,,,,,,,,,,,,,
Z1_9,Crosses,Dr. Draxi,Z1,1,https://puu.sh/wrvuA/0404fdc98e.png,-15900,500,-4900,2,,,Jerodar,,,,,,,,,,,,,
Z1_10,Savanah,Narciciss,Z1,1,https://puu.sh/wrAaa/a0efdf6e47.png,-13400,500,-5200,4,,,Jerodar,,,,,,,,,,,,,
Z1_11,Plane Crash,ClippedWings,Z1,1,https://puu.sh/wrFXI/847c811196.png,-17000,-500,-5600,2,,,Jerodar,,,,,,,,,,,,,
Z1_12,Boulders,?,Z1,1,https://puu.sh/wrvwE/c9409c85d7.png,-15500,500,-6300,3,,,Jerodar,,,,,,,,,,,,,
Z1_13,Cemetary,Wolf,Z1,1,https://puu.sh/wrFVt/a23355fe0b.png,-17500,-500,-7300,5,,,Jerodar,,,,,,,,,,,,,
Z1_14,Stairway,Olax,Z1,1,https://puu.sh/wrE9h/72ec311910.png,-15500,500,-7300,2,,,Jerodar,,,,,,,,,,,,,
Z1_15,Green Hills,?,Z1,1,https://puu.sh/wrE1M/e76e716d64.png,-13300,0,-7100,2,,,Jerodar,,,,,,,,,,,,,
Z1_16,Spires,Festoga,Z1,1,https://puu.sh/wrDkv/bad4ce149a.png,-11300,-500,-7300,3,,,Jerodar,,,,,,,,,,,,,
Z2_1,Kings Statue,çek çek ihtan,Z2,2,https://puu.sh/wrJul/13a4e361ed.png,-17500,500,-9200,3,,,Jerodar,,,,,,,,,,,,,
Z2_2,Ruined Bridge,Outcast,Z2,2,https://puu.sh/wsqfJ/ec4c7d64a7.png,-13800,-500,-9000,5,,,Jerodar,,,,,,,,,,,,,
Z2_3,Hill Fortress,InquisitorCrumbleduck,Z2,2,https://i.imgur.com/jHKixel.png,-10900,0,-9100,2,,,Jerodar,,,,,,,,,,,,,
Z2_4,Iglo Village,Iorek,Z2,2,https://puu.sh/wsuGR/36d996d15d.png,-15700,0,-9700,5,,,Jerodar,,,,,,,,,,,,,
Z2_5,Mountain Trail,vknightreq,Z2,2,https://puu.sh/wsqqA/7c41557c9f.png,-12100,0,-10100,3,,,Jerodar,,,,,,,,,,,,,
Z2_6,Light Bulb,OddNova,Z2,2,https://puu.sh/wsmtN/0ff8c2f493.png,-17300,-500,-10800,2,,,Jerodar,,,,,,,,,,,,,
Z2_7,Halo Peak,Atriox,Z2,2,https://puu.sh/wsnZS/1c5e8b2152.png,-14600,-500,-11100,5,,,Jerodar,,,,,,,,,,,,,
Z2_8,Aquaduct,Eli-Eggi,Z2,2,https://puu.sh/wsnfv/0da3d4b2a2.png,-15300,0,-12100,3,,,Jerodar,,,,,,,,,,,,,
Z2_9,Roots,Swift-Sausages,Z2,2,https://puu.sh/wst4Q/550b8cddf0.png,-11400,0,-11600,4,,,Jerodar,,,,,,,,,,,,,
Z2_10,Monolith,Unknown,Z2,2,https://puu.sh/wsrUT/29ad8e0db7.png,-13100,-500,-12800,1,,,Jerodar,,,,,,,,,,,,,
Z2_11,AA Guns,The voice of freedom,Z2,2,https://puu.sh/wssKp/9a052ee0a3.png,-11700,0,-13700,1,,,Jerodar,,,,,,,,,,,,,
Z3_1,Old Church,krystofperkey,Z3,2,https://puu.sh/wsvuU/b92ac572b4.png,-17500,500,-14000,1,,,Jerodar,,,,,,,,,,,,,
Z3_2,Ringwall,Nardo,Z3,2,https://puu.sh/wsxlM/be5860c4b8.png,-14800,0,-14600,1,,,Jerodar,,,,,,,,,,,,,
Z3_3,Sunken City,F_E_E_S_H,Z3,2,https://puu.sh/wsxQM/847fdac37d.png,-13300,-500,-15400,5,,,Jerodar,,,,,,,,,,,,,
Z3_4,Three Plateaus,Arkendi,Z3,2,https://puu.sh/wswfD/2979e91c15.png,-16600,0,-15600,3,,,Jerodar,,,,,,,,,,,,,
Z3_5,Icecone,Riggs,Z3,2,https://puu.sh/wsywE/8ad4e85a4f.png,-11700,500,-16200,4,,,Jerodar,,,,,,,,,,,,,
Z3_6,Roads,Hackerman,Z3,2,https://puu.sh/wsvxf/d021d1d6b6.png,-17300,0,-16800,1,,,Jerodar,,,,,,,,,,,,,
Z3_7,Waterfall,OddNova,Z3,2,https://puu.sh/wsys5/89fb594aa7.png,-14400,500,-17100,2,,,Jerodar,,,,,,,,,,,,,
Z3_8,Slide,Magnymbus,Z3,2,https://puu.sh/wszef/dc9a78c70e.png,-12200,-500,-17300,3,,,Jerodar,,,,,,,,,,,,,
Z4_1,Fractured Hills,Talekk,Z4,1,https://puu.sh/wsV9D/0df2139435.png,-8700,500,-9600,3,,,Jerodar,,,,,,,,,,,,,
Z4_2,Crash Site,Panzer Puppy,Z4,1,https://puu.sh/wsY0z/99efafbc1e.png,-6500,0,-8900,2,,,Jerodar,,,,,,,,,,,,,
Z4_3,Hollow Peak,Bong_Delonge,Z4,1,https://puu.sh/wsUwS/0e5d8f91b1.png,-9200,500,-9600,3,,,Jerodar,,,,,,,,,,,,,
Z4_4,Twisted Ruins,Schrodinger’s cat the 1st,Z4,1,https://puu.sh/wsVGB/b4f6bac853.png,-5200,500,-9700,2,,,Jerodar,,,,,,,,,,,,,
Z4_5,Arid Forest,OddNova,Z4,1,https://puu.sh/wsYMq/e1083843df.png,-7900,-500,-10500,1,,,Jerodar,,,,,,,,,,,,,
Z4_6,Sheltered Valley,Spelz | River,Z4,1,https://i.imgur.com/pu8OU0C.png,-4800,500,-10700,1,,,Jerodar,,,,,,,,,,,,,
Z4_7,Linked Isles,SumminCool,Z4,1,https://puu.sh/wsUuO/71c47b953b.png,-9800,0,-11300,2,,,Jerodar,,,,,,,,,,,,,
Z4_8,Cloverleaf,Narciciss,Z4,1,https://puu.sh/wsVrZ/e3331a8c56.png,-6000,0,-11600,5,,,Jerodar,,,,,,,,,,,,,
Z4_9,Rubble,Willy Wanker,Z4,1,https://puu.sh/wt1tn/a6146caf8d.png,-3600,0,-11500,1,,,Jerodar,,,,,,,,,,,,,
Z4_10,Hike,Unix,Z4,1,https://puu.sh/wsZpS/df3332fb5b.png,-7600,0,-12200,2,,,Jerodar,,,,,,,,,,,,,
Z4_11,Vined,Lt Vax,Z4,1,https://puu.sh/wt0YP/7d05363f27.png,-4100,0,-12400,2,,,Jerodar,,,,,,,,,,,,,
Z4_12,Blasted,Unknown,Z4,1,https://puu.sh/wt269/4a0964b050.png,-2500,500,-12200,2,,,Jerodar,,,,,,,,,,,,,
Z4_13,Mountains Edge,Narciciss,Z4,1,https://puu.sh/wsTBw/538815f414.png,-9200,-500,-12800,5,,,Jerodar,,,,,,,,,,,,,
